name,formattedAddress,lat,long,photoReference,placeID,rating,userRatingsTotal,cityType,cityName,compoundCode,types,hiddenGems,ticketStatus,budget,category,userType,openHours,closeHours,closeDays,description,access,activity,facility,suggestion
Peta Park,"Jl. Peta No.229, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40242, Indonesia",-6.9317951,107.5883026,ATJ83zha1WXL45f9wc1rxhfzVhJ3V55_fpc9Kur3dOQPbYj4BP_UR7dRyEr3vFWCLFAc7UvwSOaQtY4OeRRujCPuWYX3h3v3IUmr2GfiWKtG7feQKg3NnWJ6DdxjaHxsy5h1CMTHt7Pye4GGcJrtJ-Uwf5fwwcVk6e1psB_WED_pnQc1HHzM,ChIJcd4jrKfoaC4RpokEfBFEQM0,4.4,4869,kota,KOTA BANDUNG,"3H9Q+78 Suka Asih, Bandung City, West Java",tourist_attraction|park|point_of_interest|establishment,No,Yes,Low,Nature|Relaxing|Kuliner,Solo|Friends|Couple|Family,07.00,19.0,-,"Peta Park di Kota Bandung, Jawa Barat, adalah destinasi wisata berupa taman luas dengan desain yang bersih, modern, dan minimalis. Diperkenalkan pada tahun 2016, hingga saat ini, taman ini tetap menjadi salah satu tempat liburan yang paling populer dan disukai di Kota Bandung.","Taman Lalu Lintas berlokasi di pusat Kota Bandung, dan mudah diakses dengan alamat lengkap di Jalan Peta No.229, Suka Asih, Bojongloa Kaler, Kota Bandung. Lokasi ini sangat strategis, memungkinkan pengunjung untuk sampai ke sana dengan mudah menggunakan kendaraan pribadi atau transportasi umum.",Wisata Petik Sayur.WIsata kuliner.berfoto di spot foto yang sudah disediakan.Menikmati pemandangan taman.,Spot Foto.Tempat Bersantai.Skywalk.Tempat parkir.Area kuliner.,Datanglah saat cuaca cerah untuk menikmati aktivitas di luar.Jangan lupa untuk menjaga kebersihan taman dengan membuang sampah pada tempatnya.Perhatikan jam buka dan tutup taman.Bawa kamera untuk mengabadikan momen berharga Anda.
Photography Park of Bandung,"Jl. Kemuning No.4, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",-6.9134744,107.6271387,ATJ83zgiuub728qQq4Q_389ScaKFitqYWnshsguX4k7igL7lYXdP9V3-PdzL6qJhaRKCdFkuhnXXV-rVlGzlP7R012vVHvbPhEvAB_-Dxfe9zmT7rrVPCLMO7Cn1DZMFt65AKtT6AXQOAMNlGQft7z054ZM1VoUpD0kREGMg-1r15rRLaV_3,ChIJZ3K4JsznaC4RaLxhKq_Cnp8,4.4,3275,kota,KOTA BANDUNG,"3JPG+JV Merdeka, Bandung City, West Java",tourist_attraction|amusement_park|park|point_of_interest|establishment,No,No,Low,Nature|Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,Photography Park of Bandung adalah area terbuka yang sering digunakan masyarakat untuk mengajak anak-anaknya bermain.karena taman ini memiliki banyak permainan dan memiliki ruput sintetis.,"Alamat Jl. Kemuning No. 4, Merdeka, Sumur Bandung, Kota Bandung, Jawa Barat 40113 dapat diakses dengan kendaraan pribadi, taksi, atau ojek daring dari pusat kota Bandung, Stasiun Bandung, atau Terminal Leuwi Panjang. Gunakan peta atau GPS untuk panduan lebih lanjut.",Beristirahat sanbil menikmati pemandangan.Bermain bersama keluarga.Berpiknik.,area bermain.rumput sintetis.Pedagang .Tempat parkir.,Sebaiknya datang pada pagi atau sore hari untuk cahaya terbaik saat mengambil foto.Jangan lupa membawa bekal dan air minum jika Anda berencana untuk menghabiskan waktu lebih lama.
Plaza Cikapundung River Spot,"3JH5+XG9, Jl. Dr. Ir. Sukarno, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",-6.9200921,107.6088457,ATJ83ziEOwyePHHK7Cciwna4BmWkLA5TGwwpMRT1DfPC1Qhixt_eVth6_29WS6aQEYifO1wYuI_e8lBqTUPu00u_k2RxMgGg2u4zwV4WG5NV8oyHbLCOZA25aOtkf0uSn5ADHxeAJIJOodE4Ve34NZIfK4OpQQYTsUfdz6ejIOjDnLTx7g1I,ChIJSZh4eiXmaC4RAUPOmyG32uk,4.3,5104,kota,KOTA BANDUNG,,tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Plaza Cikapundung River Spot adalah tujuan wisata populer di Kota Bandung, sering kali dikunjungi oleh para pengunjung yang ingin mengabadikan momen indahnya. Terletak tepat di sepanjang sungai Cikapundung yang menenangkan, tempat ini menampilkan air mancur yang menari dengan cahaya berwarna-warni pada malam hari, menciptakan daya tarik khusus yang memikat hati para pengunjung.","Jika Anda memiliki kendaraan pribadi, Anda dapat menggunakan GPS atau peta offline untuk mencapai alamat Plaza Cikapundung River Spot: Jl. Dr. Ir. Sukarno, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111. Pastikan untuk memeriksa peta sebelum pergi.",duduk santai sambil menikmati pemandangan.Berpiknik.,Tempat duduk.Air mancur.Tempat parkir.,Datang pagi atau sore untuk menghindari panas berlebihan.
Pustaka Bunga Kandaga Puspa Park,"Jl. Citarum No.23 A, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia",-6.903319799999999,107.6225052,ATJ83zhcLf-0R8JShscXCU0krt4M0fPRsR9BjfMT74rlIE64jLs5D_APoZaBjQuUwag3eJZ2-XTsXbP3xxf3nc0XuHG3XpQBCxo5WNZnW-RlOLvTxyj3_tbmV0EnKYgRUX9nm9y3wPoy5Wj1v5GBsLu2Mxs8KxjScH14Qq1mspRVUO26ZeRI,ChIJTde0wbTnaC4RGpHYIfWF3UQ,4.3,1395,kota,KOTA BANDUNG,"3JWF+M2 Citarum, Bandung City, West Java",tourist_attraction|park|point_of_interest|establishment,No,No,Low,Nature|Relaxing,Friends|Family,08.00,16.3,-,"Taman Pustaka Bunga Kandaga Puspa, sebelumnya dikenal sebagai Taman Cilaki, telah ada sejak 30 Desember 2013. Taman ini mengalami revitalisasi dan perubahan besar dari kondisi awalnya yang kurang terawat dan angker. Kini, taman ini telah menjadi Ruang Terbuka Hijau yang indah dengan tanaman beragam dan bunga-bunga yang menarik.","Lokasinya yang terletak di pusat kota Bandung merupakan keunggulan tersendiri karena akan mempermudah akses bagi Anda, terutama jika Anda membawa kendaraan pribadi. Hanya dengan melihat peta di atas, Anda dapat dengan mudah menggunakan GPS untuk mencapai taman yang indah ini.",bisa membeli aneka tanaman dan bunga lengkap dengan perabotan pelengkapnya.Menikmati keindahan taman bunga.Taman ini adalah surga bagi para pecinta fotografi dengan pemandangan yang indah.Mengenal berbagai macam bunga.,Area parkir.Toilet.Free WIFI.Green Area.,Datanglah saat pagi atau sore hari untuk menghindari terik matahari.Jangan merusak atau memetik bunga-bunga atau tanaman di taman.Pastikan untuk membuang sampah pada tempatnya.
Rainbow Garden Lembang,"5JJ9+R9H, Lembang, West Bandung Regency, West Java 40391, Indonesia",-6.8179384,107.6184862,ATJ83zgW0TU4VPh9QaNG8q9OwrEsWvpvBgG_w_OaR2JCt9x9LIoOn1GZ8jM509rc3t93f9hvieuuJNc3tz_QVUYsU9DNIFm77kc-ujKTxFrxIcrP5lDddf6G4J_ort0403NYJ_vzunTKt57EK8-SyUxW8FKlO5lOFPweWOSatjnCJk3CHRQ,ChIJyx50QBzhaC4RpD272wo6oTI,4.6,3775,kota,KOTA BANDUNG,,park|tourist_attraction|point_of_interest|establishment,No,Yes,Medium,Nature|Relaxing|Perbelanjaan|Kuliner,Solo|Friends|Couple|Family,09.00,18.0,-,"Rainbow Garden Lembang adalah taman bunga yang indah dan penuh warna terletak di Lembang, Bandung. Tempat ini memiliki berbagai macam bunga yang cantik, menghadirkan pemandangan yang memesona, dan sangat cocok untuk bersantai serta berfoto-foto.","Rainbow Garden Lembang terletak di Jl. Maribaya No. 120, Lembang, Kabupaten Bandung Barat, Jawa Barat 40391. Jika Anda memiliki mobil pribadi, gunakan GPS untuk perjalanan sekitar 1 jam dari Bandung. Alternatifnya, gunakan angkutan umum ke Lembang dan kemudian naik taksi atau ojek online ke taman ini. Jika Anda menginginkan perjalanan yang terorganisir, pertimbangkan paket tur wisata dari agen perjalanan Bandung. Pastikan untuk memperhatikan lalu lintas, terutama di akhir pekan, dan gunakan GPS atau peta untuk navigasi yang tepat.",Mengunjungi Green House.Belanja Tanaman & Bunga.Melihat Tanaman ,lahan parkir. toilet. mushola. tempat makan.,Sebaiknya datang di pagi hari atau hari kerja untuk menghindari keramaian.Pakailah pakaian yang nyaman dan berhati-hati saat berjalan di sekitar kebun bunga.
Sungai Cikapundung,"4J34+QGF, Bandung, Tamansari, Bandung Wetan, Bandung City, West Java, Indonesia",-6.8955582,107.6062941,,ChIJAdv3JQHnaC4R6Zi7BlLRS4k,5.0,1,kota,KOTA BANDUNG,,tourist_attraction|point_of_interest|establishment,No,No,Low,Nature|Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Sebelumnya, Teras Cikapundung Bandung adalah daerah yang tidak terawat dan kumuh, tetapi telah mengalami transformasi menjadi destinasi wisata. Cikapundung adalah sungai yang memotong kota Bandung, berawal di utara kota dan mengalir hingga ke selatan sebelum bergabung dengan Sungai Citarum.","Akses ke Teras Cikapundung Bandung mudah melalui mobil, motor, angkutan umum, ojek online, atau berjalan kaki. Pastikan untuk memeriksa peta atau aplikasi transportasi jika diperlukan.","berjalan-jalan santai. berpiknik di tepi sungai. Juga terdapat banyak spot foto menarik dan taman-taman kecil. Beberapa orang juga menyukai kegiatan bermain air di sungai ini, meskipun sebaiknya pastikan untuk mematuhi peraturan keamanan.",Amfiteater.Jembatan merah.Air mancur.Kolam ikan.,"Disarankan untuk datang ke Sungai Cikapundung pada pagi atau sore hari untuk menghindari cuaca yang terlalu panas. Juga, jangan lupa membawa air minum, topi, dan perlindungan matahari jika Anda merencanakan kunjungan panjang. Pastikan untuk menjaga kebersihan dengan membuang sampah pada tempatnya."
Taman Balai Kota Bandung,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",-6.9128301,107.6097488,ATJ83zixRY5AEeSqiPk62JEeLnxYsmpTgso5-dyEzZqOppGUmuq2t-JFYnPDjtNqklo_rbhQ7ngtLUhiIoxiLGJ9vaqpzWhNnYyPCedmALdqcgaEgomWeyFFoxYMiAmRKNd4V3srHB7Og5SEvXGEhheq0X99enycFMJpG4CCN2kCSAEc11eG,ChIJ7beirjDmaC4RRLGgheAdScg,4.6,10637,kota,KOTA BANDUNG,"3JP5+VV Babakanciamis, Bandung City, West Java",tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Taman Balai Kota Bandung adalah taman yang luas dan indah yang terletak di pusat kota Bandung. Taman ini memiliki beragam kebun bunga, jalur setapak yang asri, dan area bermain anak-anak. Bangunan Balai Kota yang megah juga menjadi daya tarik tersendiri.","Anda dapat menggunakan kendaraan pribadi atau transportasi online untuk mencapai taman ini. Bandung memiliki peta yang baik, jadi navigasi akan mudah.","Nikmati keindahan taman dengan berjalan-jalan santai di antara kebun bunga yang cantik.Area bermain anak-anak tersedia untuk keluarga yang membawa anak kecil.Taman ini menawarkan lanskap yang indah untuk berfoto-foto, terutama di sekitar Balai Kota yang megah.Anda bisa membawa bekal dan bersantai di salah satu area piknik yang disediakan.",Tempat sampah.Tempat duduk.Area bermain.spot foto.,"Pastikan untuk membawa kamera atau ponsel cerdas Anda untuk mengabadikan momen-momen indah di taman ini.Kenakan pakaian yang nyaman dan sesuai dengan cuaca, serta sepatu yang cocok untuk berjalan.Jika Anda datang bersama keluarga, pastikan anak-anak Anda selalu dalam pengawasan."
Taman Braga,"Jl. Ustadz Abdul Somad LC. No.12, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia",-6.9198719,107.6100633,ATJ83ziYfxZiVPDT9Dr7MUT-C5jLSd-XF9bzKpOUYb2FxputgdF6VbDzC4e7t_ZL1wHQEoGSEa8KcI4E2Tg4wYUAYKdNp3eacLrXIGzddtdESMRYN-xcwqXSK8W3w91mzFJa3FDG7bIbVy1nPjaMmB7fS44hQbt2V9sBS1suxdaN4xQvP9L4,ChIJU05Hjy_maC4R8t_TcAfptxI,4.6,3461,kota,KOTA BANDUNG,"3JJ6+32 Braga, Bandung City, West Java",tourist_attraction|point_of_interest|establishment,No,No,Low,Perbelanjaan|Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Taman Braga adalah jalan bersejarah yang memadukan arsitektur kolonial Belanda dengan nuansa modern yang kental. Di sepanjang jalan ini, Anda akan menemukan berbagai toko antik, kafe, dan restoran yang menawarkan makanan lezat.","Taman Braga terletak di pusat kota Bandung, sehingga mudah diakses dengan kendaraan pribadi, taksi, atau ojek online. Jika Anda menginap di sekitar kawasan Bandung, Anda bahkan bisa berjalan kaki ke Taman Braga.",Anda bisa menikmati berjalan-jalan sepanjang jalan. mengeksplorasi toko-toko antik yang menarik.mencicipi kuliner lokal di restoran dan kafe.,toilet umum. tempat parkir. kafe dan restoran.,"Sebaiknya datang selama hari kerja atau pagi hari untuk menghindari keramaian yang biasanya terjadi pada akhir pekan atau sore hari.Pastikan Anda membawa uang tunai, meskipun sebagian besar tempat menerima kartu kredit. Jangan lupa untuk mencicipi makanan dan minuman khas Bandung."
Taman Cibeunying,"3JWF+6M2, Jl. Tm. Cibeunying Sel., Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia",-6.9044943,107.6241329,ATJ83zjdSBFg5oWcY8pf8gVq2YOEIODJ4Y0NcsvM385jdrueoL3ROXf_ckPNBbowQaWk4BxEsLEHyl5DmLAsYGXQidT3ANxKddkHY7qmkWyVPOkx4wo1dQE1j3LC70QvwW5AQHWGIbXfImtqwMgbbRgZnGCByMr99hYdH4D3yQePde1mkcvI,ChIJZ4oPAbXnaC4ReIbiUW7xtu0,4.5,8019,kota,KOTA BANDUNG,,tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing|Kuliner,Solo|Friends|Family,04.00,23.0,-,"Taman Cibeunying, yang memiliki sejarah panjang, adalah salah satu taman terletak di tengah kota Bandung dan merupakan peninggalan masa kolonial Belanda. Pada era kolonial, taman ini dikenal sebagai Tjibeunjing Plantsoen dan merupakan bagian dari jalur hijau yang menghubungkan Taman Cilaki hingga Taman Bengawan. Pada tahun 1980, taman ini diubah menjadi pusat tanaman hias oleh mantan walikota Bandung, Ateng Wahyudi.","Taman Cibeunying berlokasi di pusat kota Bandung, sehingga mudah diakses dengan berjalan kaki, sepeda, atau transportasi umum. Banyak taksi dan ojek online juga tersedia di sekitar area ini.","Anda bisa membeli dan menikmati pemandangan tanaman hias.Berkumpul bersama teman,keluarga atau komunitas.",Bike Shelter.gazebo.Tempat duduk.,"Datanglah dengan pakaian yang nyaman, terutama jika Anda berniat berjalan-jalan.Jaga kebersihan dengan membuang sampah pada tempatnya."
Taman Film,"4J25+G3H, Jl. Layang Pasupati, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116, Indonesia",-6.8986869,107.6077451,ATJ83ziocv8CrYrTjntKQnC47u0i4PUbrRAWnMD19FwGdEV783Z53sjqteW89OUjVt7AMEb-p_qVgQ_hlnWqanjYvC229vapYnuWOpASHxby4afCq6taT_RHAJUQRttG1ekBhzxR1mmp9p9V1AcZBrO_6CcLEo7qKLYZl452ZBIp3cdXy9-7,ChIJqycGPUXmaC4RMexo0NkWNEA,4.3,4226,kota,KOTA BANDUNG,,tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Taman Film adalah salah satu taman tematik dan ruang terbuka publik di Kota Bandung yang terletak di bawah Jembatan Pasupati, Bandung, Jawa Barat.","Dari Alun-Alun Bandung, menuju Taman Film Bandung di Jalan Layang Pasupati, Bandung Wetan, Anda dapat mengambil Jalan Layang Pasupati. Perjalanan ini hanya membutuhkan waktu sekitar 15 menit dengan kendaraan pribadi. Jika Anda ingin menggunakan transportasi umum, naiklah Trans Bandung dengan rute Leuwipanjang - Dipatiukur atau Abdul Muis - Ledeng, dan turun di Cisitu-Tegalega, lalu lanjutkan perjalanan ke Taman Film Bandung.",Berpiknik.Bersantai sambil membaca buku yang disediakan.Bersantai sambil menonton film.,rumput sintetis.tempat duduk.area film terbuka.area perpustakaan.tempat parkir.Playground.WiFi.,Datang pada hari kerja untuk menghindari kerumunan yang lebih padat.Pastikan untuk mengecek jadwal tayang film jika Anda ingin menonton.
Taman Gesit,"4J38+QJ4, Jl. Dipati Ukur, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia",-6.8956231,107.6165655,ATJ83zihNXWiMXgMb4zZ2ilN9Z43IeaK5j_gEksFr9k7NFARECiaeFOnwNaK7hvbBiYUwmcdn8-z9jhKxxQUXb3od_WJ1HYtZpzEJwe-UDxvv3rG41Z_UZA_XSU0OiQy9pZIOj305nsRXG3gRmdk6rNGJSJhoSfB_59YE1kIQxyYPI5qTCu5,ChIJxSi4PVLmaC4RxuXfunfrR3o,4.3,563,kota,KOTA BANDUNG,,park|tourist_attraction|point_of_interest|establishment,No,No,Low,Relaxing,Solo|Friends|Family,00.00,23.58,-,"Taman Gesit, yang meliputi area seluas sekitar 556,5 meter persegi, menawarkan konsep Green and Active, menyajikan sebuah ruang hijau tematik di kota Bandung. Taman ini dibangun dengan sengaja untuk menjadi Ruang Terbuka Hijau (RTH), mirip dengan Babakan Siliwangi.Taman ini secara resmi diperkenalkan oleh pemerintah kota Bandung di bawah pimpinan Ridwan Kamil pada tanggal 1 April 2015.","Taman ini memiliki lokasi yang strategis, memudahkan akses baik dengan kendaraan pribadi maupun transportasi umum.Sebagai contoh, jika Anda memilih menggunakan transportasi umum, Anda dapat mengambil Bus Damri dari Terminal Leuwipanjang dengan rute menuju Dipatiukur.Sementara jika Anda membawa kendaraan pribadi, akses ke taman akan lebih mudah. Anda hanya perlu mengandalkan GPS untuk panduan perjalanan.","Jika Anda berlibur dengan anak-anak, mereka akan senang bermain di area bermain yang tersedia.Taman ini sempurna untuk piknik bersama keluarga atau teman-teman. ",Tree Deck. area permainan.patung-patung.rak buku.,Jangan lupa membawa air minum dan makanan ringan.Hargai keindahan alam dan jangan lupa untuk menjaga kebersihan taman dengan membuang sampah pada tempatnya.
Taman Lansia,"3JXC+49W, Cisangkuy St, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",-6.9021326,107.6209387,ATJ83zhvsLJjmtA8bPAamHUtME8S1CX5f1_FFzP8ncBxvtcZ3T6sKhb7AjItrqpCidPWcRLaHkePq3ZA5JHuK0_eirwZmB3WrC-Yl78RHfgf5iFod44CAwIBNdu1F3v2-Hs8eu23nXP-xwDUuHQ6VXUaGNPVdvfSPPlqFmtJ2by5edVSxxJf,ChIJoQd1OLDnaC4RcsJIJXr8ytY,4.5,10923,kota,KOTA BANDUNG,,tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Taman Lansia Bandung adalah taman yang dirancang khusus untuk para lansia dan juga tersedia bagi masyarakat umum. Taman ini menawarkan suasana tenang dan hijau dengan beragam tanaman yang indah, area duduk yang nyaman, dan jalur berjalan.","Taman Lansia memiliki lokasi yang sangat strategis, terletak dekat dengan pusat Kota Bandung. Tepatnya, alamatnya adalah Jalan Cisangkuy, Citarum, Bandung Wetan, Bandung, Jawa Barat. Bahkan, taman ini hanya berjarak 2 kilometer dari pusat Bandung, sehingga Anda dapat mencapainya dalam waktu singkat, sekitar 5 menit saja.","Anda dapat menjelajahi taman ini dengan berjalan kaki, menikmati keindahan alam, dan melakukan piknik di area yang disediakan. Taman Lansia sering menjadi tempat bagi para lansia yang melakukan senam pagi. Anda dapat bergabung dalam kegiatan ini dan merasakan suasana lokal.Dengan lanskap hijau dan bunga-bunga yang bermekaran, taman ini adalah tempat yang bagus untuk fotografi.",playground.Tempat duduk.Tempat parkir.,Pastikan untuk membawa air minum dan perlengkapan piknik jika Anda berencana untuk berlama-lama.Jaga kebersihan dan kerapihan taman selama berkunjung.
Taman Maluku,"Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia",-6.9093621,107.6152518,ATJ83zhZlPSiAHB1RpoyIeNlDikjcI5tFr0VwVBq-UQ4RpGeDcNL9U-I15EW7l7RajCfsLd5iiC1s8Bpkg8LqeFf85HTC1zXY2MZ1AC9leMWMrxAtBGJL-o_yCwp3SDcbadI5QlpuGYM42qDkAX6St4f6FOz-S8enboc9ZEpa-jpISGz8Dz-,ChIJOzv_eTbmaC4R5PHL5afLZv4,4.5,1510,kota,KOTA BANDUNG,"3JR8+74 Citarum, Bandung City, West Java",tourist_attraction|park|point_of_interest|establishment,No,No,Low,Nature|Relaxing,Solo|Friends|Couple|Family,00.00,23.59,-,"Taman Maluku Bandung adalah objek wisata populer yang cocok untuk olahraga dan bersantai. Pengunjung sering berolahraga, bermain, dan berfoto-foto, terutama pada akhir pekan. Patung raksasa menyerupai pastor adalah daya tarik unik di taman ini.","Taman Maluku berlokasi di Jalan Citarum, Bandung Wetan, Jawa Barat. Ini hanya sekitar 3 km atau sekitar 15 menit perjalanan dengan kendaraan dari Alun-Alun Kota Bandung. Terletak di pusat kota, menjadikannya tempat yang sempurna untuk singgah, bersantai, atau mengambil foto yang bagus.",Bawa bekal dan nikmati piknik bersama keluarga atau teman-teman di taman ini.Bermain dengan anak-anak.Taman ini ideal untuk berjalan-jalan santai sambil menikmati suasana alam.,playground.Tempat Bersantai.Kolam Ikan Hias.Penjual makanan.,Pastikan untuk membawa air minum dan perlengkapan piknik jika Anda berniat untuk makan di sana.Jaga kebersihan taman dengan membuang sampah pada tempatnya.
Taman Sejarah Bandung,"Jl. Aceh No.53, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",-6.910122299999999,107.6102605,ATJ83zjlkY40uMf7aHbe2UNOTTEwJ0IApPZ1hmBGsY_xf2aoThVA_jSPSi3K4NDG5nI0J5jFjtz4QevGkoeXbtpEq6Y-fg-51dmc2-I7kFnVZ1i8CnlN6pH5OLClPJOwf9muvaJBSir3Btywlm61qkVXZAwSnf4TTKXX9dGi5g3ooBD-UR-9,ChIJ64KigjfmaC4RYmNYyYqAV0k,4.6,4407,kota,KOTA BANDUNG,"3JQ6+X4 Babakanciamis, Bandung City, West Java",tourist_attraction|park|point_of_interest|establishment,No,No,Low,Historical|Nature|Edukasi|Relaxing,Solo|Family|Couple|Friends,00.00,23.59,-,"Taman Sejarah Bandung adalah tujuan wisata yang tidak memerlukan biaya masuk dan sangat direkomendasikan. Tempat ini memiliki berbagai area yang sangat mendidik dan menarik. Selain itu, tempat ini sangat cocok untuk berfoto, dan juga membantu pengunjung lebih memahami budaya Sunda.","Menuju destinasi wisata ini sangatlah sederhana karena letaknya berada di pusat kota Bandung. Pengunjung dapat dengan mudah menggunakan transportasi umum atau kendaraan pribadi.Bagi mereka yang memilih menggunakan Bus Rapid Transit (BRT), mereka dapat turun di halte gedung Dinas Pemuda dan Olahraga. Setelah itu, cukup berjalan kaki ke arah destinasi. Jarak antara halte dan Taman Sejarah sangat singkat, hanya sekitar kurang lebih 5 menit berjalan kaki dari halte.",Menikmati keindahan taman sambil belajar sejarah bandung .,Relief sejarah.Mini pool.Amphitheater.,Pastikan untuk membawa kamera atau ponsel pintar Anda untuk mengabadikan momen indah di taman.Jangan lupa membawa air minum dan makanan ringan jika Anda berencana untuk piknik.Hormati lingkungan yang ada di taman.
Taman Tongkeng,"3JQF+9C6, Jl. Tongkeng No.46, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",-6.9118331,107.6233874,ATJ83zjWlRh2jn-dHD3hff_pJ1uKh54hWj-fCnDeL4oxW6rX7uuohdcXpqC3XRJV4cCRTRa649xm7yOBb9RV6NsWIQB71N1bsQD2OpYCrWV8qGBCoivyIZ8MzYJpcDxYpa_5z8J8e9jdMOikG-it6ed_f-SqL3rL-reEuugrsNz-fuSs9BGJ,ChIJFdzvY8vnaC4Rbo_JLB3s14Q,4.3,1703,kota,KOTA BANDUNG,,tourist_attraction|park|point_of_interest|establishment,No,No,Low,Relaxing,Family,00.00,23.59,-,"Taman Tongkeng, yang terletak di Kelurahan Merdeka, Kecamatan Sumur Bandung, baru-baru ini telah diverifikasi oleh Kementerian Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) sebagai Ruang Bermain Ramah Anak (RBRA). Dalam penilaian yang mencapai skala tertinggi sebesar 455 poin, Taman Tongkeng berhasil meraih skor sebanyak 425 poin.","Akses ke Taman Tongkeng di Kelurahan Merdeka, Kecamatan Sumur Bandung dapat dilakukan dengan kendaraan pribadi, ojek online, taksi, atau angkutan umum, dengan alamat Jl. Tongkeng No.46, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat.",Aktivitas yang dapat dinikmati di Taman Tongkeng meliputi berjalan-jalan santai.Piknik.bermain dengan anak-anak di area bermain.,CCTV.spektrum warna. perosotan. instalasi ban. pipa nagaswara. sound wall. ayunan. jumping step. terowongan liliput. tangga majemuk. jamur haphap . peek a boo.Lantai karet empuk.perpustakaan mini.,Sebaiknya kunjungi Taman Tongkeng pada pagi atau sore hari untuk menghindari terik matahari.Bawa bekal makanan dan minuman jika Anda berniat untuk piknik.Pastikan untuk menjaga kebersihan taman dengan membuang sampah pada tempatnya.
Tepi Kota Healing,"3MQ9+HR3, Jl. Padang Golf, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia",-6.9111239,107.669559,ATJ83ziXdC_9-Q6rMi9qDrWYRkTtax2vIBOpz8ZwvmCjdz_kQkKgsXrQsTCx1gzJnwri9ub0-mDFYlKcNvw_uoHvODwWOeMUwtVD-xK2ZNlBER9JvQ29dSOTxPLg85YyPWVxiPirGz1fn3EPqaYcHuwmRQYwlCloN0whZGN3V3ykI_hcGxl1,ChIJTSzuAj_daC4Reaqu3bcte5M,4.3,301,kota,KOTA BANDUNG,,tourist_attraction|point_of_interest|establishment,No,Yes,Medium,Nature|Relaxing|Entertain|Adventure,Solo|Friends|Couple|Family,10.00,19.0,-,"Di Bandung, terdapat destinasi wisata terbaru yang dikenal sebagai ""Tepi Kota Healing,"" sebuah taman kota yang menawarkan beragam aktivitas luar ruang yang sangat sesuai untuk kunjungan bersama keluarga.","Bagi pengunjung yang datang dari luar Bandung, Anda dapat mencapai Tepi Kota Healing dengan mengakses jalan tol Pasteur. Lanjutkan lurus sejauh 12 kilometer, yang akan memakan waktu sekitar 40 menit. Setelah itu, di pertigaan sekitar Lapas Sukamiskin, belok kanan. Perjalanan sekitar 1 kilometer dari Lapas Sukamiskin, dan Anda akan menemukan Tepi Kota Healing di sisi kiri jalan.",Memberi makan hewan.Berkuda.Menikmati keindahan alam.Mencoba wahana yang  disediakan.,Skuter listrik .flying fox.sepeda listrik .berkuda.mini zoo.,Pastikan Anda membawa pakaian yang cocok untuk aktivitas luar ruangan.
